VCC,Loop Number,Direction,Tracks,Beginning of Loop (Track #),Beginning of Loop (Chainage in Meters),End of Loop (Track #),End of Loop (Chainage in Meters)
VCC1,1,GD0,1001 | 1003 | 1005 | 1007 | 1009 | 1123 | 1126,1001,-471.18,1009(END),-0.05
VCC1,1,GD1,1009 | 1007 | 1005 | 1003 | 1001 | 1108 | 1126,1009(END),-0.05,1001,-471.18
VCC1,2,GD0,1002 | 1004 | 1006 | 1008 | 1010 | 1016 | 1109 | 1111 | 1124 | 1125 | 1131,1002,-472.54,1131(END),-0.05
VCC1,2,GD1,1016 | 1010 | 1008 | 1006 | 1004 | 1002 | 1109 | 1111 | 1124 | 1125 | 1131,1131(END),-0.05,1002,-472.54
VCC1,3,GD0,1110 | 1112 | 1113 | 1114 | 1115 | 1116 | 1117 | 1119 | 1121,1110,19.3,1116(END),274.9
VCC1,3,GD1,1121 | 1119 | 1117 | 1116 | 1115 | 1114 | 1113 | 1112 | 1110,1116(END),274.9,1110,19.3
VCC1,4,GD0,1105 | 1106 | 1107,1105,52.35,1107(END),76.38
VCC1,4,GD1,1107 | 1106 | 1105,1107(END),76.38,1105,52.35
VCC1,5,GD0,1104,1104,-10.14,1104(END),52.3
VCC1,5,GD1,1104,1104(END),52.3,1104,-10.14
VCC1,6,GD0,1122,1122,17.97,1122 (END),207.17
VCC1,6,GD1,1122,1122(END),207.17,1122,17.97
VCC1,7,GD0,1120,1120,18.6,1120(END),183.08
VCC1,7,GD1,1120,1120(END),183.08,1120,18.6
VCC1,8,GD0,1118,1118,19.46,1118(END),159.25
VCC1,8,GD1,1118,1118(END),159.25,1118,19.46
VCC1,9,GD0,1011 | 1015 | 1019 | 1021 | 1023 | 1025 | 1027 | 1128 | 1129 | 1130,1011,0,1027(END),400.73
VCC1,9,GD1,1027 | 1025 | 1023 | 1021 | 1019 | 1015 | 1011 | 1128 | 1129 | 1130,1027(END),400.73,1011,0
VCC1,10,GD0,1018 | 1020 | 1022 | 1024 | 1026 | 1028 | 1030 | 1032 | 1034 | 1127,1018,0,1034(END),2093.21
VCC1,10,GD1,1034 | 1032 | 1030 | 1028 | 1026 | 1024 | 1022 | 1020 | 1018 | 1127,1034(END),2093.21,1018,0
VCC1,11,GD0,1029 | 1031 | 1035 | 1037 | 1039 | 1041,1029,2100.57,1041(END),3603.79
VCC1,11,GD1,1041 | 1039 | 1037 | 1035 | 1031 | 1029,1041(END),3603.79,1029,2100.57
VCC1,12,GD0,1036 | 1038 | 1042 | 1044 | 1046 | 1048,1036,2093.25,1048(END),3604.15
VCC1,12,GD1,1048 | 1046 | 1044 | 1042 | 1038 | 1036,1048(END),3604.15,1036,2093.25
VCC1,13,GD0,1043 | 1045 | 1047 | 1049 | 1051 | 1053 | 1055 | 1057 | 1059 |  1061,1043,3603.84,1061(END),5412.55
VCC1,13,GD1,1061 | 1059 | 1057 | 1055 | 1053 | 1051 | 1049 | 1047 | 1045 | 1043,1061(END),5412.55,1043,3603.84
VCC1,14,GD0,1050 | 1052 | 1054 | 1056 | 1058 | 1060 | 1062 | 1064 | 1066 | 1068,1050,3604.2,1068(END),5405.8
VCC1,14,GD1,1068 | 1066 | 1064 | 1062 | 1060 | 1058 | 1056 | 1054 | 1052 | 1050,1068(END),5405.8,1050,3604.2
VCC1,15,GD0,1063 | 1069 | 1071 | 1073 | 1075 | 1077,1063,5412.6,1077(END),7212.12
VCC1,15,GD1,1077 | 1075 | 1073 | 1071 | 1069 | 1063,1077(END),7212.12,1063,5412.6
VCC1,16,GD0,1070 | 1076 | 1078 | 1080 | 1082 | 1084,1070,5405.85,1084(END),7211.76
VCC1,16,GD1,1084 | 1082 | 1080 | 1078 | 1076 | 1070,1084(END),7211.76,1070,5405.85
VCC1,17,GD0,1081 | 1083 | 1085 | 1087 | 1089 | 1091 | 1093 | 1095 | 1097 | 1099,1081,7212.17,1099(END),9199.95
VCC1,17,GD1,1099 | 1097 | 1095 | 1093 | 1091 | 1089 | 1087 | 1085 | 1083 | 1081,1099(END),9199.95,1081,7212.17
VCC1,18,GD0,1088 | 1090 | 1092 | 1094 | 1096 | 1098 | 1100 | 1101 | 1102 | 1103,1088,7211.81,1103(END),9199.95
VCC1,18,GD1,1103 | 1102 | 1101 | 1100 | 1098 | 1096 | 1094 | 1092 | 1090 | 1088,1103(END),9199.95,1088,7211.81
VCC2,1,GD0,2001 |  2003 | 2007 | 2009 | 2013 | 2015 | 2017 | 2019 | 2021 | 2023 | 2025 | 2202 | 2203 | 2224 | 2227,2001,9200,2025(END),11233.46
VCC2,1,GD1,2025 | 2023 | 2021 | 2019 | 2017 | 2015 | 2013 | 2009 | 2007 | 2003 | 2001 | 2202 | 2203 | 2224 | 2227,2025(END),11233.46,2001,9200
VCC2,2,GD0,2002 | 2004 | 2008 | 2010 | 2014 | 2016 | 2018 | 2020 | 2022 | 2201 | 2204,2002,9200,2022(END),11234.89
VCC2,2,GD1,2020 | 2018 | 2016 | 2014 | 2010 | 2008 | 2004 | 2002 | 2022 | 2201 | 2204,2022(END),11234.89,2002,9200
VCC2,3,GD0,2027 |  2029 | 2031 | 2033 | 2035,2027,11233.51,2035(END),13247.99
VCC2,3,GD1,2035 | 2033 | 2031 | 2029 | 2027,2035(END),13247.99,2027,11233.51
VCC2,4,GD0,2024 | 2026 | 2028 | 2030 | 2032,2024,11234.92,2032(END),13250.66
VCC2,4,GD1,2032 | 2030 | 2028 | 2026 | 2024,2032(END),13250.66,2024,11234.92
VCC2,5,GD0,2037 | 2039 | 2041 | 2043 | 2045 | 2047 | 2049 | 2051 | 2053 | 2055,2037,13248.05,2055(END),15274.27
VCC2,5,GD1,2055 | 2053 | 2051 | 2049 | 2047 | 2045 | 2043 | 2041 | 2039 | 2037,2055(END),15274.27,2037,13248.05
VCC2,6,GD0,2034 | 2036 | 2038 | 2040 | 2042 | 2044 | 2046 | 2048 | 2050 | 2052,2034,13250.71,2052(END),15271.73
VCC2,6,GD1,2052 | 2050 | 2048 | 2046 | 2044 | 2042 | 2040 | 2038 | 2036 | 2034,20525(END),15271.73,2034,13250.71
VCC2,7,GD0,2057 | 2059 | 2061 | 2063 | 2065 | 2067 | 2069 | 2071 | 2073 | 2205 | 2208,2057,15274.32,2073(END),17290.5
VCC2,7,GD1,2073 | 2071 | 2069 | 2067 | 2065 | 2063 | 2061 | 2059 | 2057 | 2205 | 2208,2073(END),17290.5,2057,15274.32
VCC2,8,GD0,2054 | 2056 | 2058 | 2060 | 2062 | 2064 | 2066 | 2068 | 2070 | 2206 | 2207,2054,15271.78,2070(END),17289.4
VCC2,8,GD1,2073 | 2071 | 2070 | 2068 | 2066 | 2064 | 2062 | 2060 | 2058 | 2056 | 2054 | 2206 | 2207,2070(END),17289.4,2054,15271.78
VCC2,9,GD0,2075 | 2077 | 2079 | 2081 | 2083 | 2085 | 2087 | 2089 | 2091,2075,17290.54,2091(END),19572.32
VCC2,9,GD1,2091 | 2089 | 2087 | 2085 | 2083 | 2081 | 2079 | 2077 | 2075,2091(END),19572.32,2075,17290.54
VCC2,10,GD0,2072 | 2074 | 2076 | 2078 | 2080 | 2082 | 2084 | 2086 | 2088,2072,17289.45,2088(END),19573.91
VCC2,10,GD1,2088 | 2086 | 2084 | 2082 | 2080 | 2078 | 2076 | 2074 | 2072,2088(END),19573.91,2072,17289.45
VCC2,11,GD0,2093 | 2095 | 2097 | 2099 | 2101 | 2103 | 2105 | 2107 | 2109 | 2111 | 2113 | 2210 | 2211,2093,19572.37,2113(END),21595
VCC2,11,GD1,2113 | 2111 | 2109 | 2107 | 2105 | 2103 | 2101 | 2099 | 2097 | 2095 | 2093 | 2210 | 2211,2113(END),21595,2093,19572.37
VCC2,12,GD0,2090 | 2092 | 2094 | 2096 | 2098 | 2100 | 2102 | 2104 | 2106 | 2108 | 2110 | 2209 | 2212,2090,19573.96,2110(END),21587.32
VCC2,12,GD1,2110 | 2108 | 2106 | 2104 | 2102 | 2100 | 2098 | 2096 | 2094 | 2092 | 2090 | 2209 | 2212,2110(END),21587.32,2090,19573.96
VCC2,13,GD0,2115 | 2117 | 2119 | 2121 | 2123 | 2125 | 2127 | 2129 | 2131 | 2133 | 2213 | 2216,2115,21595.05,2133(END),23487.39
VCC2,13,GD1,2133 | 2131 | 2129 | 2127 | 2125 | 2123 | 2121 | 2119 | 2117 | 2115 | 2213 | 2216,2133(END),23487.39,2115,21595.05
VCC2,14,GD0,2112 | 2114 | 2116 | 2118 | 2120 | 2122 | 2124 | 2126 | 2214 | 2215 | 2216,2112,21587.37,2126(END),23481.87
VCC2,14,GD1,2126 | 2124 | 2122 | 2120 | 2118 | 2116 | 2114 | 2112 | 2214 | 2215 | 2216,2126(END),23481.87,2112,21587.37
VCC2,15,GD0,2135 | 2137 | 2139 | 2141 | 2143 | 2145 | 2147 | 2149 | 2151 | 2153 | 2155 | 2157 | 2159 | 2161,2135,23487.44,2161(END),25889.43
VCC2,15,GD1,2161 | 2159 | 2157 | 2155 | 2153 | 2151 | 2149 | 2147 | 2145 | 2143 | 2141 | 2139 | 2137 | 2135,2161(END),25889.43,2135,23487.44
VCC2,16,GD0,2128 | 2130 | 2132 | 2134 | 2136 | 2138 | 2140 | 2142 | 2144 | 2146 | 2148 | 2150 | 2152 | 2154,2128,23481.92,2154(END),25884.26
VCC2,16,GD1,2154 | 2152 | 2150 | 2148 | 2146 | 2144 | 2142 | 2140 | 2138 | 2136 | 2134 | 2132 | 2130 | 2128,2154(END),25884.26,2128,23481.92
VCC2,17,GD0,2163 | 2165 | 2167 | 2169 | 2171 | 2173 | 2175,2163,25889.48,2175(END),27918.04
VCC2,17,GD1,2175 | 2173 | 2171 | 2169 | 2197 | 2165 | 2163,2175(END),27918.04,2163,25889.48
VCC2,18,GD0,2156 | 2158 | 2160 | 2162 | 2164 | 2166 | 2168,2156,25884.31,2168(END),27910.53
VCC2,18,GD1,2168 | 2166 | 2164 | 2162 | 2160 | 2158 | 2156,2168(END),27910.53,2156,25884.31
VCC2,19,GD0,2177 | 2179 | 2181 | 2183 | 2185 | 2187 | 2189 | 2005 | 2191 | 2011 | 2197 | 2192 | 2193 | 2194 | 2195 | 2199 | 2235 | 2196 | 2217 | 2219 | 2222 | 2223 | 2234,2177,27918.09,2196(END),29896.59
VCC2,19,GD1,2196 | 2235 | 2199 | 2195 | 2194 | 2193 | 2192 | 2197 | 2011 | 2191 | 2005 | 2189 | 2187 | 2185 | 2183 | 2181 | 2179 | 2177 | 2217 | 2219 | 2222 | 2223 | 2234,2196(END),29896.59,2177,27918.09
VCC2,20,GD0,2170 | 2172 | 2174 | 2176 | 2178 | 2180 | 2206 | 2012 | 2198 | 2182 | 2184 | 2186 | 2188 | 2190 | 2200 | 2218 | 2220 | 2221 | 2006,2170,27910.57,2200(END),29894.21
VCC2,20,GD1,2220 | 2218 | 2200 | 2190 | 2188 | 2186 | 2184 | 2182 | 2198 | 2012 | 2206 | 2180 | 2178 | 2176 | 2174 | 2172 | 2170 | 2006,2200(END),29894.21,2170,27910.57
VCC2,21,GD0,2228 | 2229 | 2230 | 2225 | 2226,2228,10282.66,2230(END),10562.2
VCC2,21,GD1,2230 | 2229 | 2228 | 2225 | 2226,2230(END),10562.2,2228,10282.66
VCC2,22,GD0,2231 | 2236 | 2232 | 2233,2231,45.38,2232(END),191.21
VCC2,22,GD1,2232 | 2236 | 2231 | 2233,2232(END),191.21,2231,45.38
