VCC,Date,Time,VOBC,Train Number,Position,Time Difference Between Time-Out and Last Known Position (Seconds),Direction,Chainage (Meters),Last Known Station
VCC1,2018/08/01,08:46:59,231,31,1019/130,-5,GD0,812.5,202B
VCC1,2018/08/08,15:37:17,217,17,1027/331,-1,GD0,2068.75,203B
VCC1,2018/08/10,02:16:52,230,30,1118/ 66,-27,GD0,431.96,
VCC1,2018/08/10,02:16:58,131,30,1118/ 66,-33,GD0,431.96,
VCC1,2018/08/10,02:31:47,231,31,1118/ 66,0,GD0,431.96,
VCC1,2018/08/10,02:31:53,130,31,1118/ 66,-1,GD0,431.96,
VCC1,2018/08/11,13:52:04,207,7,1099/304,-8,GD0,9112.17,
VCC1,2018/08/14,19:11:53,223,23,1032- 33,-14,GD1,1886.96,202A
VCC1,2018/08/15,12:05:15,226,26,1019/133,0,GD0,831.25,202B
VCC1,2018/08/16,04:15:42,216,16,1002- 70,-2,GD1,-437.55,
VCC1,2018/08/20,07:40:48,210,10,1077/262,-2,GD0,7050.1,207B
VCC1,2018/08/22,08:56:20,220,20,1089/199,-3,GD0,8455.92,208B
VCC1,2018/08/23,13:26:41,221,21,1001- 71,-13,GD1,-443.8,
VCC1,2018/08/23,14:48:00,103,3,1002- 70,-14,GD1,-437.55,
VCC1,2018/08/24,22:12:08,215,15,1001- 71,73,GD1,-443.8,
VCC1,2018/08/25,20:56:47,231,31,1089/188,-2,GD0,8387.17,208B
VCC1,2018/09/01,15:07:41,226,26,1002- 70,-11,GD1,-437.55,
VCC1,2018/09/12,13:41:59,232,32,1100- 68,-3,GD1,8774.95,208A
VCC1,2018/09/16,20:32:13,219,19,1100- 71,-10,GD1,8756.2,208A
VCC1,2018/09/16,20:33:15,119,19,1096-128,2,GD1,8399.95,207A
VCC1,2018/09/16,20:35:43,219,19,1090-223,-1,GD1,7806.200000000001,206A
VCC1,2018/09/18,08:06:40,223,23,1100- 77,-8,GD1,8718.7,207A
VCC1,2018/09/19,23:08:14,214,14,1062- 52,-4,GD1,5080.8,205A
VCC1,2018/09/20,17:58:35,230,30,1090-228,-14,GD1,7774.950000000001,206A
VCC1,2018/09/21,18:36:31,237,37,1092-215,-8,GD1,7856.200000000001,207A
VCC1,2018/09/22,09:55:52,236,36,1031/150,-3,GD0,3038.07,203B
VCC1,2018/09/22,12:59:02,231,31,1089/189,-6,GD0,8393.42,208B
VCC1,2018/09/23,11:27:56,236,36,1037/173,8,GD0,3181.82,203B
VCC1,2018/09/24,20:04:26,219,19,1096-149,-1,GD1,8268.7,207A
VCC1,2018/10/01,10:50:20,224,24,1019/ 93,-12,GD0,581.25,202B
VCC1,2018/10/01,11:04:16,124,24,1089/189,0,GD0,8393.42,208B
VCC1,2018/10/04,21:03:35,135,35,1096-138,-10,GD1,8337.45,207A
VCC1,2018/10/05,13:05:57,107,7,1103- 12,-8,GD1,9124.95,208A
